Job Title,Company,Location,Description
Python Full Stack Developer,Marktine Technology Solutions Pvt Ltd,Jaipur,"Job Title: Python Fullstack Developer

Experience: 5+ Years

Location: Jaipur

Skills Required:
 Python
 Django
 React

Preferred Skills:
 AWS
 Kafka

Job Description:

We are looking for a highly skilled Python Developer to join our team in Jaipur. As a Python Developer, you will be responsible for developing and maintaining robust Python applications using Django and integrating front-end components using React. You should have a strong understanding of software engineering principles and a passion for writing clean, efficient code.

Responsibilities:
 Design, develop, and maintain backend services and APIs using Python and Django framework.
 Integrate user-facing elements developed by front-end developers with server-side logic.
 Implement security and data protection measures for the applications.
 Collaborate with the team to define and implement innovative solutions for the product direction, visuals, and experience.
 Ensure the performance, quality, and responsiveness. of applications.
 Troubleshoot and debug applications to optimize performance and ensure scalability.
 Stay updated with the latest industry trends and technologies.

Requirements:
 Bachelor's or Master's degree in Computer Science, Engineering, or a related field.
 5+ years of experience in Python development, with expertise in Django framework.
 Proficiency in front-end technologies such as React.
 Strong understanding of server-side templating languages.
 Experience with AWS services and cloud infrastructure is preferred.
 Familiarity with Kafka or other message broker systems is a plus.
 Solid understanding of software development lifecycle (SDLC) and Agile methodologies.
 Excellent problem-solving skills and ability to troubleshoot complex issues.
 Good communication skills and ability to work effectively in a team environment,"
Python/Django Developer,Rampwin Technologies Pvt. Ltd.,Jaipur,"We seek a skilled Python developer with at least 3 years of experience to join our dynamic team in Jaipur, Rajasthan. As a Python developer, you will be responsible for developing and implementing high-quality Python-based applications, working closely with our clients to understand their requirements and deliver efficient solutions.

Requirements:
1. One should have hands-on experience in Python with Django
2. Experience with NBFC (Non-Banking Financial Company) is desired.
3. Proven experience as a Python developer, with at least 3 years of experience.

Job Details:
1. It will be an on-site contract-based job.
2. Location: Near Railway Station, Jaipur, Rajasthan
3. Working: 5 days a week

Job Types: Temporary, Freelance
Contract length: 12 months


Location Type:
 In-person

Schedule:
 Day shift
 Fixed shift
 Monday to Friday
 Weekend availability

Ability to commute/relocate:
 Jaipur, Rajasthan: Reliably commute or planning to relocate before starting work (Required)

Education:
 Bachelor's (Preferred)

Experience:
 Python: 2 years (Preferred)
 Django: 2 years (Preferred)

Work Location: In person,"
Data Science Developer Cum Trainer,WE RNS IT Solutions Pvt. Ltd.,Jaipur,"Company Description

WE RNS IT Solutions Pvt. Ltd., based in Jaipur, is dedicated to making Information & Technology affordable and accessible to all. Specializing in Cyber Security, Digital Marketing, Website Development, and Mobile App Development, we offer turn-key solutions for startups and companies of all sizes. We work closely with clients to enhance their web presence through strategic affiliate marketing strategies.

Role Description

This is a full-time on-site role for a Data Science Developer Cum Trainer Role at WE RNS IT Solutions Pvt. Ltd. The Data Science Intern will be responsible for applying analytical skills, statistics, data analytics, and data analysis techniques to derive insights and support various projects within the company, and working with training other team members and collaborate with skills, combining hands-on data science development with the opportunity to teach and mentor the next generation of data scientists.

Youll build innovative machine learning models while designing and delivering training programs that bridge theory with real-world applications.

Qualifications
 Analytical Skills and Statistics proficiency
 Have experience of 6 months - 1 year in Data Science and ML
 Good Communication Skills and ability to explain complex concepts in an accessible way
 Good Knowledge of Data Science, Data Analytics, and Data Analysis
 Strong problem-solving abilities and attention to detail,
 Knowledge of Deploying models (Python, R, SQL)
 Good Knowledge of Python Programming Knowledge
 Excellent communication and teamwork skills
 Practical Knowledge of AI/ML Tools and Concepts
 Must Have Completed any project in Data Science or AL/ML in Company or Individually
 Graduate or PG from Any Stream or certification in Data Science, or AI/ML
 Prior teaching experience will be a plus

Please submit your resume to hidden_email look forward to seeing how your unique combination of development and training experience can contribute to our mission.,"
PYTHON WEB DEVELOPER(FLASK),Nexus pro services,Jaipur,"#Hiring hashtag#PythonDeveloper for Jaipur location

Experience-3 years python (Flask)

Required Qualification:

Strong proficiency in Python programming language

1. Experience with Flask web framework.

2. Knowledge of SQL alchemy, SQL raw queries, SQL joins and database management.

3. Familiarity with front-end technologies such as HTML, CSS, and JavaScript.

4. Understanding of RESTful API design principles.

5. Experience with version control systems such as Git.

6. Ability to write clean, maintainable, and scalable code.

7. Strong problem-solving and analytical skills.

8. Excellent communication and collaboration skills.

9. Bachelors degree in Computer Science or related field (preferred).

10. Relevant certifications such as Certified Flask Developer (CFD) (optional).

11. Familiarity with some ORM (Object Relational Mapper) libraries.

12. Understanding of the threading limitations of Python, and multi-process architecture.

13. Knowledge of user register, login,Email, Verification.

14. Ability to work AWS S3 Bucket.

Interested candidates may send their Cv to hidden_email

Job Types: Full-time, Permanent


Location Type:
 In-person

Education:
 Bachelor's (Preferred)

Experience:
 FLASK WEB FRAMEWORK: 2 years (Preferred)
 total work: 3 years (Preferred)

Work Location: In person

Speak with the employer
+91 hidden_mobile,"
Python & AI/ML Developer,VertexPlus Technologies,Jaipur,"Description

Hi,

Hope you are doing well.!!

Currently we are looking for Python & AI/ML Developer, Below are the details.

Role: Python & AI/ML Developer

Location: Jaipur

Experience: 3+ Years

Roles& Responsibilities:
 Proven-deep-expertise with Python programming for Automation & Web development.
 Experience in working with frameworks like Django, Flask.
 Experience in AI/ ML projects, particularly in optimizing and selection of models that align with the business requirement.
 Object-oriented concepts & design patterns.
 Excellent analytical and problem-solving skills.
 Experience with Git or other version control
 Experience with any RDBMS and strong SQL knowledge
 Working experience with Unix / Linux
 Working experience with Azure cloud
 Communicate directly with onsite and customer.

CTC: As per the Company Norms.,"
django Developer,Nexus jobs,Jaipur,"Company Overview

Nexus Jobs is a leading talent staffing services provider with extensive experience in pan-India hiring. Our focus is on providing end-to-end manpower solutions that meet our clients"" specific requirements. We offer a wide range of corporate manpower services, including immediate placement services, part-time/full-time jobs, freelance project work, and career opportunities for both freshers and experienced candidates.

Job Overview

We are seeking a Full-Stack Developer to join our team at Nexus Jobs. As a Full-Stack Developer, you will be responsible for designing, developing, and maintaining both the front-end and back-end components of our web applications. This is a full-time role based in Jaipur, Rajasthan, India, and is suitable for candidates with less than 1 year of experience.

Qualifications And Skills
 Strong knowledge of Node.js, HTML, CSS, and JavaScript
 Proficiency in Python and Django framework
 Excellent communication and collaboration skills
 Problem-solving abilities and attention to detail
 Ability to work in a fast-paced and dynamic environment
 Familiarity with version control systems
 Experience with front-end frameworks such as React or Angular is a plus

Roles And Responsibilities
 Designing, coding, and modifying websites and web applications from layout to function
 Creating visually appealing and user-friendly front-end components using HTML, CSS, and JavaScript
 Developing and maintaining server-side applications using Node.js and Django
 Collaborating with design and product teams to implement and improve features
 Conducting code reviews and ensuring code quality and optimization
 Troubleshooting and resolving issues reported by users
 Staying updated on emerging technologies and industry trends,"
Python Intern,Deorwine Infotech,Jaipur,"Position Overview:

We are seeking a motivated and enthusiastic Python Intern to join our team. This is an excellent opportunity for freshers or individuals looking to gain practical experience in Python programming and its applications. As a Python Intern, you will work closely with our development team to assist in various projects, learn new skills, and contribute to the success of our organization.

Responsibilities:
 Collaborate and assist with senior developers in designing, coding, testing, and debugging software applications
 Work on projects involving data analysis, web development, automation, or other relevant areas.
 Accurately label datasets according to project specifications and guidelines.
 Develop and maintain Python scripts to streamline the data labeling process.
 Work collaboratively machine learning engineers to understand data requirements and project goals.
 Maintain detailed documentation of data labeling processes and scripts.

Requirements:
 Bachelors degree in Computer Science, Engineering, or a related field.
 Basic understanding of Python programming fundamentals.
 Good problem-solving skills and attention to detail.
 Ability to work independently as well as in a team environment.
 Good communication skills and willingness to learn.

Benefits:
 Hands-on experience in Python development.
 Opportunity to work on real-world projects and contribute to meaningful solutions.
 Mentorship from experienced developers and professionals in the field.

This is an Stipend based internship

If youre passionate about Python programming and eager to kick-start your career, wed love to hear from you! Apply now with your resume explaining why youre the perfect fit for this role.

Job Type: Internship
Contract length: 3 months


Location Type:
 In-person

Schedule:
 Day shift

Work Location: In person,"
Python AI ML Developer,VertexPlus Technologies,Jaipur,"Description

Hi,

Greetings of the day.!!

Currently we are hiring for Python AI ML Developer, Below are the requirement.

Role: Python AI ML Developer

Location: Jaipur

Experience: 3+ Years

Roles & Responsibilities
 Proven-deep-expertise with Python programming for Automation & Web development
 Experience in working with frameworks like Django, Flask
 Experience in AI/ ML projects, particularly in optimizing and selection of models that align with the business requirement
 Object-oriented concepts & design patterns
 Excellent analytical and problem-solving skills
 Experience with Git or other version control
 Experience with any RDBMS and strong SQL knowledge
 Working experience with Unix / Linux
 Communicate directly with onsite and customer

CTC: As per the Company norms,"
Technical Project Lead (Python React),OptimHire,Jaipur,"Job Description

1. System Design & Architecture

Architecture Patterns: Expertise in microservices architecture, event-driven architecture, monolithic vs distributed systems, and serverless architectures.

Scalability & Performance: Ability to design systems that scale horizontally and vertically, with a focus on high performance and low latency.

Cloud Architecture: In-depth knowledge of cloud-native architectures (AWS, Azure, GCP) with focus on services like EC2, Lambda, S3, Cloud Functions, and autoscaling mechanisms.

Integration Architecture: Strong understanding of integrating various services, systems, and databases, using tools like Kafka, RabbitMQ, or Enterprise Service Bus (ESB).

2. Backend Architecture & Development

Programming Paradigms: Expertise in object-oriented and functional programming.

API Strategy: Deep understanding of API gateways, throttling, and security (OAuth, OpenID, JWT).

Data Management: Experience with data architecture, partitioning strategies, and data warehouses

3. Frontend Architecture

Frontend Design Patterns: Strong knowledge of front-end architectural patterns (component-based, flux/redux).

Web Performance Optimization: Experience optimizing for fast load times, lazy loading, code-splitting, and service workers.

Responsive & Adaptive Design: Architecting for multi-device compatibility with focus on performance and accessibility.

4. Database Architecture

Data Modeling: Proficiency in designing normalized and denormalized databases, partitioning, sharding, and caching mechanisms (Redis, Memcached).

Data Storage Solutions: Experience with distributed databases and storage technologies like Cassandra, DynamoDB, and relational databases (MySQL/PostgreSQL).

Backup & Recovery: Architecting systems for high availability, disaster recovery, and redundancy.

5. DevOps & Infrastructure as Code (IaC)

Automation Tools: Advanced knowledge of automation tools (Terraform, Ansible, Chef, Puppet) for infrastructure provisioning and configuration.

CI/CD Pipelines: Expertise in designing CI/CD pipelines at scale, ensuring zero-downtime deployment.

Monitoring & Logging: Ability to design robust monitoring and logging architectures using tools like Prometheus, Grafana, ELK stack (Elasticsearch, Logstash, Kibana).

6. Security Architecture

Application Security: Deep knowledge of security principles like OWASP Top 10, encryption standards, and secure coding practices.

7. Leadership & Collaboration

Stakeholder Communication: Ability to translate complex technical concepts to business stakeholders and work with cross-functional teams (business analysts, developers, testers, product managers).

Technical Roadmaps: Capability to define and lead the technical direction, including setting standards, establishing best practices, and making strategic technology decisions.

Mentoring: Experience guiding development teams and promoting best practices in code reviews, design, and architectural decisions.

8. Innovation & Emerging Tech

Emerging Technologies: Familiarity with AI/ML, blockchain, IoT, and their applications in modern enterprise architecture.

Prototyping: Ability to prototype new solutions and prove out concepts in a risk-managed way.
Category

Software Engineer (Software and Web Development)Full Stack Developers (Software and Web Development)DevOps Engineers (Software and Web Development)Principal Engineer (Software and Web Development)Cloud Architects (Software and Web Development)
Expertise

Python - 10 Years React.Js - 5 Years,"
Python Lead,Resources Valley,Jaipur,"Experience on Open Source Platforms in designing/ developing Web-based applications.
 Require Strong knowledge in Python with application/package/module development, tuning, and debugging tools.
 Proficient understanding of Python Identifiers, Reserved Words, Basic Operators, Variable Types, and User defined exception handling with their usage.
 In-depth knowledge of Python Dictionary and default modules included in Python (String, DateTime, Numbers, and other required functions usage).
 Proficient understanding of Sequences and its differences (Tuples/Lists).
 File manipulation-using Python (Create, Edit, and Delete view file).
 Ability to organize code logically and with the understandable procedure that is well defined, documented, and testable.,"
Django Developer,FargoWiz India,Jaipur,"Company Description

FargoWiz India is a software development company based in Jaipur. We specialize in custom software development using cutting-edge technology and platforms. Our team is skilled in modern technology stacks to deliver top-notch solutions for businesses.

Role Description

This is a full-time on-site role for a Django Developer at FargoWiz India in Jaipur. The Django Developer will be responsible for designing and implementing realworld use cases utilizing Django Framework and Python. This will include backend APIs and frontend UI development.

Qualifications
 3-5 years Experience with Django framework and Python programming
 Real world project experience with Django framework
 Implementing backend APIs, frontend UI utiizing Django framework
 Strong problem-solving and analytical skills
 Bachelor's degree in Computer Science or related field

Note: Candidate must include specific project tasks and experience in Django and Python in the CV.

Only candidates with current working location in Jaipur will be considered.,"
Junior Django Developer,Startup Labs Infotech Pvt. Ltd.,Jaipur,"We're Hiring!

Django Developer Opportunity!

We're on the lookout for a talented Django Developer with 1-2 years of experience. If you're well-versed in Python, Django, and Django ReST Framework, we'd love to hear from you! Join our dynamic team and work on exciting projects that make an impact.

 Location: On-site (Jaipur)

 Experience: 1-2 years

 Skills: Python, Django, Django ReST Framework

Joining: Immediate

Apply today and be a part of something great!

Apply to: hidden_email with your resume, time required to join, current CTC and expected CTC

hashtag

#DjangoDeveloper hashtag

#Python hashtag

#Hiring hashtag

#TechJobs hashtag

#DjangoRestFramework hashtag

#WebDevelopment hashtag

#CareerOpportunity hashtag

#SoftwareDevelopment hashtag

#BackendDeveloper hashtag

#DeveloperJobs hashtag

#PythonJobs hashtag

#TechCareer hashtag

#JoinOurTeam hashtag

#ReSTAPI hashtag

#APIDevelopment,"
Frontend Developer,Alds,Jaipur,"Position: Internship Front-End Developer/Engineer

Experience Required : Minimum 0 to 1 year

Summary:

We are seeking a highly skilled and experienced Front-End Developer/Engineer to join our team. As a Front-End Developer, you will be responsible for developing and implementing user interfaces for our web applications. You should have a solid understanding of modern web technologies, excellent coding skills, and a keen eye for design and usability.

Responsibilities:
 Collaborate with the design and development teams to create user-friendly web applications with a focus on front-end development.
 Translate design mock-ups and wireframes into functional web pages using HTML, CSS, and JavaScript.
 Build reusable code and libraries for future use, ensuring the technical feasibility of UI/UX designs.
 Optimize web applications for maximum speed and scalability, ensuring high performance across various devices and browsers.
 Conduct thorough testing and debugging of front-end. components to ensure a smooth and responsive user experience.
 Stay up-to-date with the latest industry trends and best practices in front-end development and share knowledge with the team.
 Collaborate with back-end developers and web designers to improve usability and enhance user experience.
 Participate in code reviews and provide constructive feedback to maintain high code quality standards.
 Troubleshoot and resolve front-end performance and compatibility issues.
 Maintain documentation for front-end development processes and projects.

Requirements:
 Bachelor's degree in Computer Science, Software Engineering, or a related field (or equivalent work experience).
 Proven experience as a Front-End Developer/Engineer, working on web application projects.
 Strong proficiency in HTML, CSS, and JavaScript, with a deep understanding of responsive design principles.
 Experience with front-end frameworks and libraries such as React, Angular, or Vue.js.
 Proficiency in version control systems (e.g., Git) and package managers (e.g., npm).
 Solid understanding of cross-browser compatibility and accessibility standards.
 Familiarity with server-side CSS preprocessors (e.g., Sass, Less) and task runners (e.g., Gulp, Grunt).
 Experience with RESTful APIs and integrating front-end components with back-end services.
 Knowledge of UI/UX best practices and ability to translate design wireframes into functional code.
 Strong problem-solving skills and attention to detail.
 Excellent communication and collaboration skills.
 Ability to work effectively in a fast-paced, dynamic environment.

Preferred Qualifications:
 Experience with mobile app development and responsive design.
 Familiarity with server-side programming languages (e.g., Node.js, Python, Ruby).
 Knowledge of SEO principles and best practices.
 Understanding of performance optimization techniques.
 Experience with testing frameworks and automated testing tools.

Join our team and contribute to the development of cutting-edge web applications, ensuring a seamless and enjoyable user experience. If you are passionate about front-end development, possess excellent problem-solving skills, and have a keen eye for detail, we would love to hear from you,"
Full Stack Developer,Swappit Web & Software Solutions,Jaipur,"Company Description

We are one of the fastest growing design and development solutions companies which provide Web designing, Web Development, Branding and Digital Marketing Solutions.

Job Description

Job Description

Job Summary

Urgently required the Full Stack Developers for Jaipur, the candidate who good command on Full Stack Development, please send your CV as soon as possible

Experience- 1+ Years

Responsibilities and Duties

Have strong experience with HTML5, JavaScript, CSS3, Angular, Bootstrap

Have strong experience with PHP & Node.js

Nice to have experience with Angular2, Angular4, Typescript, Materialize CSS, AWS SDK for JavaScript, and/or Google Charts library,

Demonstrate capability to learn new technologies,

Have strong experience in ensuring quality code with thorough unit testing,

Have experience in Agile environment and DevOps practices,

Have some knowledge of web monitoring processes and tools.

Have strong experience in REST web services and publish/subscribe

Required Experience, Skills and Qualifications
 PHP 5+, MySQL, JS, XHTML, CSS, AJAX & JSON is a must
 CakePHP & Magento with one Frameworks is Must
 Ability to translate complex business cases into clear, maintainable code
 Commitment to documentation and maintainable code
 Excellent knowledge of data structures, SDLC, HTTP, RDBMS and PHP/MySQL concepts
 Good knowledge of PHP Fundamentals, Web applications and multimedia technologies
 Ownership and completion of an assigned sub-task
 Strong analysis, design, programming and testing skills
 Working knowledge of development processes, XML structures, networking concepts, session handling, cookies, version control systems (preferably CVS and SVN), ticket tracking systems (preferably Mantis), etc

Benefits
 Training and mentoring
 PF

Job Type: Full-time

Qualifications

To be considered for this role, you must have:
 BS / MS in Computer Science, or Information Systems or equivalent experience
 1+ years of experience in developing Web Visualization & Streaming applications
 Open source framework experience such as Spring, Angular 2, React, WebGL, JQuery, D3, Node.js, Docker, etc.
 Web & Web Service development experience using Java/J2EE
 Relational database and SQL development experience
 Agile development experience
 Test Automation and Continuous integration using GIT, Stash, Jenkins, Bamboo
 Experience using version control (GIT) and bug tracking (Jira) tools
 Location based services using Google Map, ESRI, Trillium, etc is a plus.
 Big Data Hadoop, Kafka, Spark, Python experience is a plus,"
Web Full Stack Developer (python),Macbun,Jaipur,"Salary: 700000
 Roll Category: First Line Manager/ Supervisor
 Role: Branch Head
 Job Function Area: Dummy area
 Education: B-tech
 Remark: Test

Key Skills

Cement / Metals,"
